dt,marketplace,num_trades,num_users,unique_buyers,unique_sellers,eth_value_traded,usd_value_traded,|,new_users,new_buyers,new_sellers,| (1),pct_new_users,pct_new_buyers,pct_new_sellers,| (2),num_trades_7dma,num_users_7dma,eth_value_traded_7dma,usd_value_traded_7dma,| (3),num_trades_30dma,num_users_30dma,eth_value_traded_30dma,usd_value_traded_30dma,| (4),running_num_trades_in_period,total_users_in_period,total_buyers_in_period,total_sellers_in_period,running_eth_value_traded_in_period,running_usd_value_traded_in_period,| (5),running_num_trades,total_users,total_buyers,total_sellers,running_eth_value_traded,running_usd_value_traded
2022-09-24T00:00:00Z,Quix,5131,5270,3082,3004,30.35871748014618,40419.10633040301,|,3082,2073,1882,|,0.5848197343453511,0.3933586337760911,0.3571157495256167,|,3358.5714285714284,3430.1428571428573,119.63383298813537,160525.197239186,|,1379.8666666666666,1425.4666666666667,38.834207302560095,54661.07473501226,|,68333,35895,21848,21624,1327.309602776539,1.920515263544436e+06,|,70433,35895,21848,21624,1330.9528270775388,1.9258997907824917e+06
2022-09-23T00:00:00Z,Quix,5413,5943,2740,3867,35.51637130849975,46819.09363340901,|,3593,1773,2698,|,0.6045768130573784,0.298334174659263,0.45397947164731617,|,2690.285714285714,2748.714285714286,120.18028501860101,161745.53965424886,|,1223.6666666666667,1261.4333333333334,37.95592089692981,53539.388294222284,|,63202,32813,19775,19742,1296.9508852963927,1.880096157214033e+06,|,65302,32813,19775,19742,1300.5941095973926,1.8854806844520885e+06
2022-09-22T00:00:00Z,Quix,4215,4114,2091,2773,31.738802543125534,40689.86875078071,|,2364,1521,1773,|,0.574623237724842,0.36971317452600877,0.4309674282936315,|,1994.2857142857142,1972.5714285714287,118.63858299400506,160222.01443841323,|,1067.0666666666666,1080.1333333333334,36.86034351677726,52124.4598098771,|,57789,29220,18002,17044,1261.4345139878928,1.8332770635806238e+06,|,59889,29220,18002,17044,1265.0777382888928,1.8386615908186794e+06
2022-09-21T00:00:00Z,OpenSea,1,2,1,1,0.001001878364787316,1.35478,|,,,,|,,,,|,3.7142857142857144,3.2857142857142856,0.0065737547634020345,11.219117175000003,|,3.7142857142857144,3.2857142857142856,0.0065737547634020345,11.219117175000003,|,26,10,9,8,0.04601628334381424,78.53382022500001,|,26,10,9,8,0.04601628334381424,78.53382022500001
2022-09-21T00:00:00Z,Quix,5094,5169,3186,3205,413.07749548410396,552757.6110776816,|,3078,2254,2065,|,0.5954730121880442,0.4360611336815632,0.3994970013542271,|,1449,1457.2857142857142,115.04942955183567,155903.06192884428,|,946.1,959.4,35.85094017541109,50847.02894041394,|,53574,26856,16481,15271,1229.6957114447673,1.792587194829843e+06,|,55674,26856,16481,15271,1233.3389357457672,1.7979717220678986e+06
2022-09-20T00:00:00Z,Quix,1964,1821,1117,1105,293.1648176293269,396929.0443006221,|,789,766,478,|,0.4332784184514003,0.42064799560680943,0.2624931356397584,|,880.8571428571429,851.7142857142857,82.84303334347562,119944.54780104218,|,801.2,803.8666666666667,22.17976975614203,32577.012316547087,|,48480,23778,14227,13206,816.6182159606633,1.2398295837521614e+06,|,50580,23778,14227,13206,820.2614402616632,1.245214110990217e+06
2022-09-19T00:00:00Z,Quix,578,562,240,360,16.37168021414467,21631.281798147702,|,182,123,107,|,0.3238434163701068,0.2188612099644128,0.1903914590747331,|,674,676.4285714285714,44.63748369241281,69165.77083539686,|,755.2666666666667,758.8333333333334,12.493113644900689,19483.708193997285,|,46516,22989,13461,12728,523.4533983313364,842900.5394515392,|,48616,22989,13461,12728,527.0966226323363,848285.066689595
2022-09-18T00:00:00Z,Quix,1115,1132,721,447,17.20894625760053,24430.374783258107,|,312,168,186,|,0.2756183745583039,0.14840989399293286,0.16431095406360424,|,681.1428571428571,688.7142857142857,42.5379044101938,66490.3700622698,|,748.9,751.6666666666666,12.055269380245175,18938.4379147892,|,45938,22807,13338,12621,507.08171811719177,821269.2576533915,|,48038,22807,13338,12621,510.7249424181917,826653.7848914473
2022-09-17T00:00:00Z,Quix,453,500,239,300,34.18388169340571,48961.503235842916,|,209,140,124,|,0.418,0.28,0.248,|,643,659.8571428571429,40.44224862907942,63640.199368665104,|,724.5333333333333,726.2666666666667,11.551851896594712,18246.51626353911,|,44823,22495,13170,12435,489.87277185959124,796838.8828701334,|,46923,22495,13170,12435,493.51599616059116,802223.4101081892
2022-09-16T00:00:00Z,Quix,541,510,244,298,24.724457136328198,36154.41712255916,|,172,139,79,|,0.33725490196078434,0.2725490196078431,0.15490196078431373,|,650.5714285714286,649,35.74734517786515,56971.193277690974,|,726.5333333333333,723.3333333333334,10.4968092207358,16770.978551019816,|,44370,22286,13030,12311,455.6888901661855,747877.3796342905,|,46470,22286,13030,12311,459.3321144671854,753261.9068723463
2022-09-15T00:00:00Z,Quix,398,507,222,302,6.614728447939648,10457.20118379848,|,177,112,96,|,0.34911242603550297,0.22090729783037474,0.1893491124260355,|,634.5714285714286,645.2857142857143,32.92891407038165,53032.00525091564,|,724.7,721.8666666666667,9.80173111778701,15807.037786682988,|,43829,22114,12891,12232,430.9644330298573,711722.9625117313,|,45929,22114,12891,12232,434.6076573308572,717107.4897497871
2022-09-14T00:00:00Z,Quix,1117,930,488,626,187.63272202558372,301048.0121830668,|,387,271,291,|,0.4161290322580645,0.2913978494623656,0.31290322580645163,|,600,603.8571428571429,32.21202490432723,51908.745779517914,|,736.4333333333333,725.7333333333333,9.703507342072687,15689.656323432899,|,43431,21937,12779,12136,424.34970458191765,701265.7613279328,|,45531,21937,12779,12136,427.99292888291757,706650.2885659887
2022-09-13T00:00:00Z,Quix,516,594,280,350,25.72597007188723,41477.605541104844,|,204,126,128,|,0.3434343434343434,0.21212121212121213,0.21548821548821548,|,499.14285714285717,542.1428571428571,5.775848067232709,9467.577219428364,|,716.6,710.9333333333333,3.6244280268117888,5990.166452785125,|,42314,21550,12508,11845,236.7169825563339,400217.7491448661,|,44414,21550,12508,11845,240.36020685733388,405602.2763829218
2022-09-12T00:00:00Z,OpenSea,4,5,3,3,0.011610130213554311,20.136445462500003,|,,,,|,,,,|,4.166666666666667,3.5,0.00750240082983782,12.863173370833335,|,4.166666666666667,3.5,0.00750240082983782,12.863173370833335,|,25,10,9,8,0.04501440497902692,77.17904022500001,|,25,10,9,8,0.04501440497902692,77.17904022500001
2022-09-12T00:00:00Z,Quix,628,648,267,400,1.6746252386115712,2903.47638625823,|,232,115,146,|,0.35802469135802467,0.17746913580246915,0.22530864197530864,|,531,574.2857142857143,2.3242989354138914,3908.989312967785,|,730.4666666666667,715.1,2.9030560181790745,4876.856873391464,|,41798,21346,12382,11717,210.99101248444668,358740.1436037612,|,43898,21346,12382,11717,214.63423678544666,364124.67084181693
2022-09-11T00:00:00Z,Quix,848,930,327,625,2.5393557897999033,4479.179928025294,|,425,197,268,|,0.45698924731182794,0.2118279569892473,0.28817204301075267,|,519.5714285714286,561.2857142857143,2.377073012946268,3955.0366668060005,|,730.2,714.6,2.9965211160501473,5076.479993161232,|,41170,21114,12267,11571,209.3163872458351,355836.667217503,|,43270,21114,12267,11571,212.95961154683508,361221.1944555587
2022-09-10T00:00:00Z,OpenSea,6,3,3,3,0.023746141459590957,41.8908411875,|,3,3,3,|,1,1,1,|,4.2,3.2,0.0066808549530945225,11.4085189525,|,4.2,3.2,0.0066808549530945225,11.4085189525,|,21,10,9,8,0.033404274765472614,57.0425947625,|,21,10,9,8,0.033404274765472614,57.0425947625
2022-09-10T00:00:00Z,Quix,506,424,207,257,1.319557534905789,2278.4605990240016,|,146,114,88,|,0.3443396226415094,0.2688679245283019,0.20754716981132076,|,516.7142857142857,542.1428571428571,2.348461718340332,3836.605823055787,|,718.1333333333333,697.3333333333334,3.0764731864597556,5240.270530427602,|,40322,20689,12070,11303,206.7770314560352,351357.4872894777,|,42422,20689,12070,11303,210.42025575703516,356742.01452753344
2022-09-09T00:00:00Z,OpenSea,3,2,2,2,0.0010992913502141583,1.881679,|,,,,|,,,,|,3.75,3.25,0.002414533326470414,3.7879383937499997,|,3.75,3.25,0.002414533326470414,3.7879383937499997,|,15,7,6,5,0.009658133305881656,15.151753574999999,|,15,7,6,5,0.009658133305881656,15.151753574999999
2022-09-09T00:00:00Z,Quix,429,484,234,276,4.9954393839437055,8580.100935131764,|,180,125,77,|,0.371900826446281,0.25826446280991733,0.1590909090909091,|,619.5714285714286,676.7142857142857,2.4996904296202898,4040.9140317644446,|,719.2333333333333,697.8333333333334,3.2474143384669767,5571.68700378103,|,39816,20543,11956,11215,205.4574739211294,349079.0266904537,|,41916,20543,11956,11215,209.10069822212938,354463.5539285094
2022-09-08T00:00:00Z,Quix,156,217,111,113,1.5965042855586609,2594.38488401444,|,79,61,34,|,0.3640552995391705,0.28110599078341014,0.15668202764976957,|,843.2857142857143,929.7142857142857,2.640144420334884,4170.607440462196,|,730.2333333333333,698.7666666666667,3.196327296338895,5486.848533690203,|,39387,20363,11831,11138,200.4620345371857,340498.9257553219,|,41487,20363,11831,11138,204.10525883818568,345883.45299337764
2022-09-07T00:00:00Z,Quix,411,498,271,236,2.5794841659221093,3959.832262439975,|,235,151,106,|,0.4718875502008032,0.3032128514056225,0.21285140562248997,|,1343.2857142857142,1502.2857142857142,3.6784201742620826,5769.173458775919,|,751.5,712.3333333333334,3.259489690796217,5603.776715392197,|,39231,20284,11770,11104,198.86553025162704,337904.5408713075,|,41331,20284,11770,11104,202.508754552627,343289.0681093632
2022-09-06T00:00:00Z,Quix,739,819,409,418,1.5651261491554989,2567.4901958807895,|,423,207,261,|,0.5164835164835165,0.25274725274725274,0.31868131868131866,|,1359.7142857142858,1523.4285714285713,3.622951224785869,5698.700585565597,|,776.1,733.1333333333333,3.506150749231033,6048.198501427994,|,38820,20049,11619,10998,196.28604608570492,333944.7086088675,|,40920,20049,11619,10998,199.9292703867049,339329.2358469232
2022-09-05T00:00:00Z,Quix,548,557,268,308,2.044043781338208,3225.8078631257363,|,203,154,75,|,0.3644524236983842,0.2764811490125673,0.13464991023339318,|,1318.5714285714287,1455.5714285714287,3.547759384693768,5563.369497228095,|,790.9,737.1666666666666,3.6607153673404675,6312.761881703935,|,38081,19626,11412,10737,194.72091993654942,331377.2184129867,|,40181,19626,11412,10737,198.3641442375494,336761.7456510424
2022-09-04T00:00:00Z,Quix,828,796,413,405,2.3390767275583517,3650.164021773799,|,448,305,189,|,0.5628140703517588,0.38316582914572866,0.23743718592964824,|,1312.857142857143,1432.5714285714287,3.542674065260165,5528.467866296455,|,810.9666666666667,754.1,3.82298632644558,6601.743525736944,|,37533,19423,11258,10662,192.6768761552112,328151.410549861,|,39633,19423,11258,10662,196.32010045621118,333535.9377879166
2022-09-03T00:00:00Z,Quix,1226,1366,860,541,2.378158513865495,3708.6180599846098,|,567,426,275,|,0.4150805270863836,0.3118594436310395,0.20131771595900438,|,1296.7142857142858,1390.2857142857142,3.400447165697229,5292.885896231682,|,832.1666666666666,772.1333333333333,4.123368946788015,7113.532976563539,|,36705,18975,10953,10473,190.33779942765284,324501.2465280872,|,38805,18975,10953,10473,193.98102372865281,329885.77376614284
2022-09-02T00:00:00Z,Quix,1995,2255,1244,1106,5.978617318945861,9487.954796016016,|,1483,1093,557,|,0.6576496674057649,0.48470066518847005,0.24700665188470067,|,1166,1233.142857142857,3.319262923068181,5149.737903733861,|,830.8666666666667,761.6666666666666,4.417253888081134,7593.956311569511,|,35479,18408,10527,10198,187.95964091378735,320792.6284681026,|,37579,18408,10527,10198,191.60286521478733,326177.15570615826
2022-09-01T00:00:00Z,OpenSea,6,6,4,4,0.004754485256968833,7.385776875,|,3,3,2,|,0.5,0.5,0.3333333333333333,|,4,3.6666666666666665,0.0028529473185558325,4.423358191666666,|,4,3.6666666666666665,0.0028529473185558325,4.423358191666666,|,12,7,6,5,0.008558841955667498,13.270074574999999,|,12,7,6,5,0.008558841955667498,13.270074574999999
2022-09-01T00:00:00Z,Quix,3656,4225,1962,2543,8.864434563049052,13784.34701221051,|,2066,1744,638,|,0.4889940828402367,0.4127810650887574,0.1510059171597633,|,935.2857142857143,959.7142857142857,2.813948556443653,4374.52173971693,|,798.1333333333333,717.6333333333333,4.395929779095952,7572.027314158773,|,33484,16925,9434,9641,181.9810235948415,311304.67367208656,|,35584,16925,9434,9641,185.62424789584148,316689.2009101422
2022-08-31T00:00:00Z,OpenSea,2,3,2,1,0.0010113824381091797,1.5902267,|,2,1,1,|,0.6666666666666666,0.3333333333333333,0.3333333333333333,|,3,2.5,0.001902178349349333,2.9421488499999997,|,3,2.5,0.001902178349349333,2.9421488499999997,|,6,4,3,3,0.003804356698698666,5.884297699999999,|,6,4,3,3,0.003804356698698666,5.884297699999999
2022-08-31T00:00:00Z,Quix,526,646,293,369,2.19120151958862,3466.522149967721,|,230,190,65,|,0.3560371517027864,0.29411764705882354,0.10061919504643962,|,476.57142857142856,406,2.1204758061848783,3372.2597532159793,|,709.2333333333333,603.1666666666666,4.374450368476013,7553.084341414081,|,29828,14859,7690,9003,173.11658903179244,297520.32665987604,|,31928,14859,7690,9003,176.75981333279242,302904.8538979317
2022-08-30T00:00:00Z,Quix,451,344,151,200,1.0387832685107892,1620.1725775182708,|,107,78,44,|,0.311046511627907,0.22674418604651161,0.12790697674418605,|,503.57142857142856,385.7142857142857,2.185882718232723,3501.505032228234,|,767.1333333333333,634.8,4.8190433082734625,8301.676075154084,|,29302,14629,7500,8938,170.92538751220383,294053.8045099083,|,31402,14629,7500,8938,174.5686118132038,299438.33174796397
2022-08-29T00:00:00Z,OpenSea,4,2,2,2,0.0027929742605894863,4.294071,|,2,2,2,|,1,1,1,|,4,2,0.0027929742605894863,4.294071,|,4,2,0.0027929742605894863,4.294071,|,4,2,2,2,0.0027929742605894863,4.294071,|,4,2,2,2,0.0027929742605894863,4.294071
2022-08-29T00:00:00Z,Quix,508,396,158,250,2.008446545302986,2981.496446604253,|,97,66,48,|,0.24494949494949494,0.16666666666666666,0.12121212121212122,|,522.8571428571429,406.85714285714283,2.245585437322643,3608.1864735664576,|,808.1333333333333,659,4.955501270656437,8540.102701034515,|,28851,14522,7422,8894,169.88660424369303,292433.63193239004,|,30951,14522,7422,8894,173.529828544693,297818.1591704457
2022-08-28T00:00:00Z,Quix,715,500,214,312,1.343488430617797,2001.0902313203899,|,180,109,111,|,0.36,0.218,0.222,|,557,422.14285714285717,2.379004917426816,3847.5601757195823,|,859.3666666666667,689.3333333333334,5.203084673746336,8979.153694560435,|,28343,14425,7356,8846,167.87815769839005,289452.1354857858,|,30443,14425,7356,8846,171.52138199939003,294836.66272384144
2022-08-27T00:00:00Z,Quix,311,266,149,121,1.809868815462163,2706.5821124998597,|,82,63,33,|,0.3082706766917293,0.23684210526315788,0.12406015037593984,|,538.5714285714286,417.85714285714283,2.553525754779508,4151.678803263549,|,879.6333333333333,703.0333333333333,5.366798073592409,9270.473613262833,|,27628,14245,7247,8735,166.53466926777224,287451.04525446537,|,29728,14245,7247,8735,170.17789356877222,292835.572492521
2022-08-26T00:00:00Z,Quix,380,341,169,192,2.4414167525741632,4061.4416478975018,|,83,68,42,|,0.2434017595307918,0.19941348973607037,0.12316715542521994,|,549.4285714285714,429.42857142857144,2.7573091060676647,4518.3347046071485,|,910.5666666666667,739.9,5.49082668174367,9491.482104732184,|,27317,14163,7184,8702,164.7248004523101,284744.4631419655,|,29417,14163,7184,8702,168.36802475331007,290128.99038002116
2022-08-25T00:00:00Z,Quix,445,349,191,174,4.010125311237631,6768.51310670386,|,126,115,42,|,0.36103151862464183,0.32951289398280803,0.12034383954154727,|,550,433.57142857142856,2.7094526768551708,4462.803790015429,|,928.8620689655172,753.6551724137931,5.595978748266757,9678.724879105794,|,26937,14080,7116,8660,162.28338369973594,280683.02149406803,|,29037,14080,7116,8660,165.9266080007359,286067.5487321237
2022-08-24T00:00:00Z,Quix,715,504,255,332,2.6490499039235327,4371.239103053501,|,193,151,123,|,0.38293650793650796,0.2996031746031746,0.24404761904761904,|,559.7142857142857,442.57142857142856,2.498377834912421,4166.640754809742,|,946.1428571428571,768.1071428571429,5.652616371017797,9782.661013834435,|,26492,13954,7001,8618,158.2732583884983,273914.50838736416,|,28592,13954,7001,8618,161.91648268949828,279299.0356254198
2022-08-23T00:00:00Z,Quix,586,492,249,283,1.456702302140228,2366.9426668858364,|,170,120,92,|,0.34552845528455284,0.24390243902439024,0.18699186991869918,|,527,437.14285714285717,2.673101284046847,4575.920053295567,|,954.7037037037037,777.8888888888889,5.76385957350277,9983.084047567061,|,25777,13761,6850,8495,155.62420848457478,269543.26928431063,|,27877,13761,6850,8495,159.26743278557475,274927.7965223663
2022-08-22T00:00:00Z,Quix,747,503,238,285,2.942382906032198,4657.112361676128,|,166,124,69,|,0.33001988071570576,0.24652087475149106,0.13717693836978131,|,550.4285714285714,455.85714285714283,2.989003123242502,5228.607856068426,|,968.8846153846154,788.8846153846154,5.929519468555175,10276.012562208645,|,25191,13591,6730,8403,154.16750618243455,267176.3266174248,|,27291,13591,6730,8403,157.81073048343453,272560.85385548044
2022-08-21T00:00:00Z,Quix,586,470,183,304,2.5651342920866393,4129.920624128156,|,172,115,82,|,0.3659574468085106,0.24468085106382978,0.17446808510638298,|,518.2857142857143,453.42857142857144,3.320140217774589,6000.92267063378,|,977.76,800.32,6.049004931056094,10500.768570229946,|,24444,13425,6606,8334,151.22512327640234,262519.21425574867,|,26544,13425,6606,8334,154.86834757740232,267903.7414938043
2022-08-20T00:00:00Z,Quix,387,347,176,185,3.2363522744792594,5273.173421905053,|,123,103,37,|,0.35446685878962536,0.2968299711815562,0.10662824207492795,|,567.7142857142857,489,3.5372367207487576,6564.979461371904,|,994.0833333333334,814.0833333333334,6.194166207679821,10766.220567984188,|,23858,13253,6491,8252,148.6599889843157,258389.2936316205,|,25958,13253,6491,8252,152.30321328531568,263773.8208696762
2022-08-19T00:00:00Z,Quix,384,370,158,221,2.1064217480867065,3672.725245755466,|,108,75,46,|,0.2918918918918919,0.20270270270270271,0.12432432432432433,|,601,529.8571428571429,3.7146975636436825,7081.978969578496,|,1020.4782608695652,834.3913043478261,6.32276681347115,11005.048704770237,|,23471,13130,6388,8215,145.42363670983644,253116.12020971545,|,25571,13130,6388,8215,149.06686101083642,258500.64744777116
2022-08-18T00:00:00Z,Quix,513,412,218,217,2.532601417638385,4695.371860264052,|,143,106,59,|,0.3470873786407767,0.25728155339805825,0.14320388349514562,|,615.5714285714286,535.8571428571429,4.119197014215317,7899.146226758635,|,1049.409090909091,855.5,6.514418861897715,11338.336134725454,|,23087,13022,6313,8169,143.31721496174973,249443.39496396,|,25187,13022,6313,8169,146.9604392627497,254827.9222020157
2022-08-17T00:00:00Z,Quix,486,466,241,242,3.8721140478645113,7236.194192454278,|,191,123,86,|,0.40987124463519314,0.26394849785407726,0.18454935622317598,|,619.2857142857143,539.7142857142857,4.678509968141605,8974.22950381046,|,1074.952380952381,876.6190476190476,6.704029216386255,11654.667766842664,|,22574,12879,6207,8110,140.78461354411135,244748.02310369594,|,24674,12879,6207,8110,144.42783784511133,250132.55034175166
2022-08-16T00:00:00Z,Quix,750,623,283,384,3.6680151765098152,6935.757286295851,|,267,175,128,|,0.42857142857142855,0.2808988764044944,0.20545746388443017,|,658.2857142857143,546.2857142857143,4.620040549889715,8802.622738089412,|,1104.4,897.15,6.845624974812343,11875.591445562084,|,22088,12688,6084,8024,136.91249949624685,237511.82891124167,|,24188,12688,6084,8024,140.55572379724683,242896.35614929738
2022-08-15T00:00:00Z,Quix,522,486,238,264,5.260342567756805,10063.316063633607,|,167,128,71,|,0.3436213991769547,0.26337448559670784,0.14609053497942387,|,664.5714285714286,546.4285714285714,4.594806398856645,8683.547459343466,|,1123.0526315789473,911.578947368421,7.012867595775634,12135.582717102412,|,21338,12421,5909,7896,133.24448431973704,230576.07162494582,|,23438,12421,5909,7896,136.88770862073702,235960.59886300153
2022-08-14T00:00:00Z,Quix,932,719,284,462,4.084809812905822,8078.31815929502,|,257,135,167,|,0.3574408901251738,0.18776077885952713,0.23226703755215578,|,754.1428571428571,637.2857142857143,5.268945449029469,9716.285999326368,|,1156.4444444444443,935.2222222222222,7.110230097332235,12250.708642295123,|,20816,12254,5781,7825,127.98414175198023,220512.75556131222,|,22916,12254,5781,7825,131.62736605298022,225897.28279936794
2022-08-13T00:00:00Z,Quix,620,633,343,321,4.478578174743733,8892.169979351203,|,269,209,125,|,0.42496050552922593,0.330173775671406,0.19747235387045814,|,790,668.8571428571429,5.571410431819859,10062.867920021225,|,1169.6470588235295,947.9411764705883,7.2881959964161425,12496.143376589247,|,19884,11997,5646,7658,123.89933193907441,212434.4374020172,|,21984,11997,5646,7658,127.5425562400744,217818.96464007293
2022-08-12T00:00:00Z,Quix,486,412,173,253,4.937917902088148,9392.896046016436,|,146,95,74,|,0.35436893203883496,0.23058252427184467,0.1796116504854369,|,865.7142857142857,730.5714285714286,5.9190667717838386,10491.880377844764,|,1204,967.625,7.463797110270668,12721.391713916626,|,19264,11728,5437,7533,119.42075376433068,203542.26742266602,|,21364,11728,5437,7533,123.06397806533067,208926.79466072173
2022-08-11T00:00:00Z,Quix,539,439,199,263,6.4477920951223995,12220.954799626821,|,171,84,115,|,0.3895216400911162,0.19134396355353075,0.2619589977220957,|,1005.4285714285714,862.7142857142857,6.835157834032871,11864.873449352648,|,1251.8666666666666,1004.6666666666666,7.632189057482836,12943.291425109974,|,18778,11582,5342,7459,114.48283586224254,194149.3713766496,|,20878,11582,5342,7459,118.12606016324253,199533.8986147053
2022-08-10T00:00:00Z,Quix,759,512,202,332,3.4628281201012756,6034.94683240695,|,215,122,119,|,0.419921875,0.23828125,0.232421875,|,1098,950.2857142857143,7.5132884993952525,12707.782493715082,|,1302.7857142857142,1045.0714285714287,7.716788840508582,12994.88689835877,|,18239,11411,5258,7344,108.03504376712014,181928.41657702278,|,20339,11411,5258,7344,111.67826806812013,187312.9438150785
2022-08-09T00:00:00Z,Quix,794,624,293,356,3.491376119278331,6102.230335074236,|,309,165,173,|,0.4951923076923077,0.2644230769230769,0.27724358974358976,|,1134.2857142857142,1010.5714285714286,7.78129791786513,13107.087928184637,|,1344.6153846153845,1086.076923076923,8.044016588232221,13530.266903431988,|,17480,11196,5136,7225,104.57221564701887,175893.46974461584,|,19580,11196,5136,7225,108.21543994801885,181277.99698267155
2022-08-08T00:00:00Z,Quix,1149,1122,516,680,9.979315918966577,17292.485843513903,|,649,346,405,|,0.5784313725490197,0.3083778966131907,0.3609625668449198,|,1162.142857142857,1034.4285714285713,8.456823078604065,14123.348998869717,|,1390.5,1124.5833333333333,8.423403293978378,14149.269950795133,|,16686,10887,4971,7052,101.08083952774054,169791.2394095416,|,18786,10887,4971,7052,104.72406382874053,175175.7666475973
2022-08-07T00:00:00Z,Quix,1183,940,372,620,6.202064692438557,10504.391604159024,|,500,232,341,|,0.5319148936170213,0.24680851063829787,0.3627659574468085,|,1321.2857142857142,1102,9.249633620682003,15356.46161582028,|,1412.4545454545455,1124.8181818181818,8.281956691706723,13863.523051457065,|,15537,10238,4625,6647,91.10152360877396,152498.7535660277,|,17637,10238,4625,6647,94.74474790977395,157883.2808040834
2022-08-06T00:00:00Z,Quix,1150,1065,373,743,6.912172554491581,11895.257184115975,|,608,227,443,|,0.5708920187793427,0.2131455399061033,0.415962441314554,|,1392.4285714285713,1120.5714285714287,9.096841827476492,15109.115865787733,|,1435.4,1143.3,8.48994589163354,14199.436196186867,|,14354,9738,4393,6306,84.8994589163354,141994.36196186868,|,16454,9738,4393,6306,88.5426832173354,147378.88919992436
2022-08-05T00:00:00Z,Quix,1464,1337,546,870,11.350555337831377,19003.84754657163,|,763,373,507,|,0.5706806282722513,0.27898279730740466,0.37920718025430067,|,1520.2857142857142,1155,9.457381267977693,15717.36858982572,|,1467.111111111111,1152,8.66525404020487,14455.456086416969,|,13204,9130,4166,5863,77.98728636184383,130099.10477775271,|,15304,9130,4166,5863,81.63051066284382,135483.6320158084
2022-08-04T00:00:00Z,Quix,1187,1052,518,633,11.194706752659071,18121.31811016387,|,555,353,354,|,0.5275665399239544,0.3355513307984791,0.3365019011406844,|,1500.142857142857,1094.142857142857,8.729429137716066,14536.917196371522,|,1467.5,1128.875,8.329591378001556,13886.907153897635,|,11740,8367,3793,5356,66.63673102401245,111095.25723118108,|,13840,8367,3793,5356,70.27995532501244,116479.78446923677
2022-08-03T00:00:00Z,Quix,1013,934,479,567,5.338894049390419,8830.084873693828,|,529,346,316,|,0.5663811563169164,0.37044967880085655,0.33832976445396146,|,1507.5714285714287,1139.857142857143,7.920289181621911,13281.991303002458,|,1507.5714285714287,1139.857142857143,7.920289181621911,13281.991303002458,|,10553,7812,3440,5002,55.442024271353375,92973.9391210172,|,12653,7812,3440,5002,59.085248572353365,98358.46635907289
2022-08-02T00:00:00Z,Quix,989,791,414,455,8.220052244450876,13216.057829869778,|,455,288,271,|,0.5752212389380531,0.3640960809102402,0.34260429835651074,|,1590,1174.1666666666667,8.350521703660492,14023.975707887228,|,1590,1174.1666666666667,8.350521703660492,14023.975707887228,|,9540,7283,3094,4686,50.10313022196296,84143.85424732337,|,11640,7283,3094,4686,53.746354522962946,89528.38148537905
2022-08-01T00:00:00Z,Quix,2263,1595,767,937,15.52898971351213,25924.27416216785,|,1134,590,677,|,0.7109717868338558,0.36990595611285265,0.4244514106583072,|,1710.2,1250.8,8.376615595502416,14185.559283490718,|,1710.2,1250.8,8.376615595502416,14185.559283490718,|,8551,6828,2806,4415,41.88307797751208,70927.79641745359,|,10651,6828,2806,4415,45.52630227851207,76312.32365550927
2022-07-31T00:00:00Z,Quix,1681,1070,530,609,5.132522139999987,8772.971353931189,|,737,434,389,|,0.688785046728972,0.405607476635514,0.36355140186915885,|,1572,1164.75,6.588522065999987,11250.880563821436,|,1572,1164.75,6.588522065999987,11250.880563821436,|,6288,5694,2216,3738,26.354088263999948,45003.522255285745,|,8388,5694,2216,3738,29.997312564999937,50388.04949334143
2022-07-30T00:00:00Z,Quix,2045,1306,575,781,9.435948637999989,16153.026252381893,|,1042,497,611,|,0.7978560490045942,0.38055130168453294,0.4678407350689127,|,1535.6666666666667,1196.3333333333333,7.073855374666653,12076.850300451517,|,1535.6666666666667,1196.3333333333333,7.073855374666653,12076.850300451517,|,4607,4957,1782,3349,21.22156612399996,36230.55090135455,|,6707,4957,1782,3349,24.86479042499995,41615.07813941024
2022-07-29T00:00:00Z,Quix,1323,911,444,503,6.254890425999993,10740.687792392251,|,751,377,419,|,0.8243688254665203,0.4138309549945115,0.45993413830954993,|,1281,1141.5,5.892808742999986,10038.762324486332,|,1281,1141.5,5.892808742999986,10038.762324486332,|,2562,3915,1285,2738,11.785617485999971,20077.524648972663,|,4662,3915,1285,2738,15.42884178699996,25462.05188702834
2022-07-28T00:00:00Z,Quix,1239,1372,406,987,5.530727059999979,9336.836856580414,|,1267,369,922,|,0.923469387755102,0.26895043731778423,0.6720116618075802,|,1239,1372,5.530727059999979,9336.836856580414,|,1239,1372,5.530727059999979,9336.836856580414,|,1239,3164,908,2319,5.530727059999979,9336.836856580414,|,3339,3164,908,2319,9.173951360999968,14721.364094636092
