dt,marketplace,num_trades,num_users,unique_buyers,unique_sellers,eth_value_traded,usd_value_traded,|,new_users,new_buyers,new_sellers,| (1),pct_new_users,pct_new_buyers,pct_new_sellers,| (2),num_trades_7dma,num_users_7dma,eth_value_traded_7dma,usd_value_traded_7dma,| (3),num_trades_30dma,num_users_30dma,eth_value_traded_30dma,usd_value_traded_30dma,| (4),running_num_trades_in_period,total_users_in_period,total_buyers_in_period,total_sellers_in_period,running_eth_value_traded_in_period,running_usd_value_traded_in_period,| (5),running_num_trades,total_users,total_buyers,total_sellers,running_eth_value_traded,running_usd_value_traded
2022-11-06T00:00:00Z,Quix,4639,4317,2645,2696,38.15384762235679,61821.50014506441,|,2529,2046,1717,|,0.5858234885337039,0.4739402362751911,0.39772990502663885,|,3441.285714285714,3392.8571428571427,33.07514452033172,52705.90229724375,|,2880.766666666667,2740.633333333333,29.4479756813155,42402.527062902576,|,197921,95205,67795,60682,2498.7621278910965,3.5751967129030526e+06,|,200021,95205,67795,60682,2502.405352192097,3.580581240141108e+06
2022-11-05T00:00:00Z,OpenSea,400,322,185,140,5.036484636893441,8261.375538571157,|,208,150,68,|,0.6459627329192547,0.4658385093167702,0.2111801242236025,|,297.7142857142857,256,10.129401884346375,16101.548871033197,|,315.46666666666664,243.2,6.585099343867559,9644.724049316146,|,10439,5070,2655,2974,202.89189957944876,296474.4424033805,|,10439,5070,2655,2974,202.89189957944876,296474.4424033805
2022-11-05T00:00:00Z,Quix,4074,3913,2286,2447,37.48398881013922,61569.51246522388,|,2023,1683,1357,|,0.516994633273703,0.43010477894198823,0.34679274214157935,|,3211.4285714285716,3212.1428571428573,32.89885961662282,52328.45196876828,|,2863.0666666666666,2717.8,28.86009944048207,41264.88294640097,|,193282,92676,65749,58965,2460.6082802687397,3.5133752127579884e+06,|,195382,92676,65749,58965,2464.25150456974,3.518759739996044e+06
2022-11-04T00:00:00Z,OpenSea,171,178,81,102,4.866175296373219,7842.767605107698,|,80,47,44,|,0.449438202247191,0.2640449438202247,0.24719101123595505,|,321.14285714285717,263.14285714285717,12.76690189151345,20366.50211684572,|,306.56666666666666,236.76666666666668,6.443520299062716,9405.277250684108,|,10039,4862,2505,2906,197.8554149425553,288213.06686480937,|,10039,4862,2505,2906,197.8554149425553,288213.06686480937
2022-11-04T00:00:00Z,Quix,3310,3642,1950,2210,38.96986277627091,61899.60997925646,|,1661,1269,1116,|,0.4560680944535969,0.3484349258649094,0.30642504118616143,|,3092.5714285714284,3104.8571428571427,32.7623781870515,51892.19535152237,|,2868.866666666667,2706.4666666666667,28.334815937534533,40202.12661163504,|,189208,90653,64066,57608,2423.1242914586005,3.4518057002927647e+06,|,191308,90653,64066,57608,2426.767515759601,3.4571902275308203e+06
2022-11-03T00:00:00Z,OpenSea,191,188,68,121,5.0427228514608196,7775.199663185697,|,82,41,47,|,0.43617021276595747,0.21808510638297873,0.25,|,394.7142857142857,294.2857142857143,12.636862342343163,20104.397098039197,|,303.9,234.13333333333333,6.295913286311207,9163.413415186518,|,9868,4782,2458,2862,192.98923964618209,280370.2992597017,|,9868,4782,2458,2862,192.98923964618209,280370.2992597017
2022-11-03T00:00:00Z,Quix,2830,2932,1564,1737,27.668202856576325,42666.44799715939,|,1363,1106,791,|,0.46487039563437926,0.3772169167803547,0.26978171896316505,|,3168.4285714285716,3048.5714285714284,31.29209828339527,49279.17182041544,|,2854.133333333333,2678.7,27.49345857868542,38755.575090751474,|,185898,88992,62797,56492,2384.1544286823296,3.389906090313508e+06,|,187998,88992,62797,56492,2387.79765298333,3.395290617551564e+06
2022-11-02T00:00:00Z,OpenSea,251,221,83,144,6.59397833261327,10331.980645848993,|,101,51,65,|,0.45701357466063347,0.23076923076923078,0.29411764705882354,|,554.7142857142857,355.42857142857144,12.682790733382575,20182.10778789319,|,301.7,231.76666666666668,6.141383414962401,8922.549677553663,|,9677,4700,2417,2815,187.94651679472128,272595.099596516,|,9677,4700,2417,2815,187.94651679472128,272595.099596516
2022-11-02T00:00:00Z,Quix,3350,3135,1861,1847,28.30003804293564,44402.61337821929,|,1739,1437,1062,|,0.5547049441786284,0.4583732057416268,0.33875598086124403,|,3219.714285714286,3045.4285714285716,30.959930763566813,48803.65276720462,|,2849.6,2672.3333333333335,27.082666630384043,38021.479388043386,|,183068,87629,61691,55701,2356.486225825753,3.347239642316349e+06,|,185168,87629,61691,55701,2360.1294501267535,3.3526241695544044e+06
2022-11-01T00:00:00Z,OpenSea,344,285,114,180,10.10837729688912,15981.294516073258,|,114,63,72,|,0.4,0.22105263157894736,0.25263157894736843,|,560.8571428571429,360.85714285714283,12.251240862398701,19483.22743275279,|,295.5,226.06666666666666,5.928210744327796,8586.854573983695,|,9426,4599,2366,2750,181.35253846210801,262263.118950667,|,9426,4599,2366,2750,181.35253846210801,262263.118950667
