project,launch_time,num_contracts,type,num_transactions,txs_per_day,time_elapsed
Saddle Finance,2022-01-18T15:38:45Z,33,Contract Project,2721,8.365745587168696,325.2549305555556
Ldmtool,2022-04-21T05:13:08Z,1,Contract Project,10,0.042975746110433845,232.68938657407406
Optimism Yakuza Pandas,2022-04-22T08:39:51Z,1,NFT Only Project,1260,5.4416872109553545,231.54583333333332
Alchemix,2022-05-30T23:52:53Z,62,Contract Project,2527,13.099251732915244,192.9117824074074
Rango Exchange,2022-05-29T13:54:23Z,15,Contract Project,8972,46.16950392998452,194.3274074074074
UMA,2021-12-03T16:07:11Z,1,ERC20 Only Project,23,0.06195533429442253,371.2351851851852
Galxe,2022-07-18T07:01:41Z,43,Contract Project,1.5306e+06,10584.037167907865,144.61400462962962
OptiDinos,2022-07-21T10:04:23Z,1,NFT Only Project,525,3.7105848523062885,141.48712962962964
Layer Zero,2022-03-15T04:02:30Z,37,Contract Project,353041,1308.8271855953049,269.7384375
Optimismprime,2022-08-15T19:59:40Z,4,Contract Project,2243,19.3239231407318,116.07373842592592
Overnight,2022-08-08T10:35:58Z,227,Contract Project,9018,73.04082637622895,123.46519675925926
Bored Survivors,2022-06-19T16:33:18Z,1,NFT Only Project,1099,6.34464106629227,173.21704861111112
Optimarket,2022-02-03T14:47:37Z,3,Contract Project,462,1.493741611530634,309.2904398148148
Bored Town,2022-06-10T08:32:51Z,1,NFT Only Project,14505,79.45738056019447,182.55069444444445
Orx Incentive Program,2022-09-22T01:52:41Z,1,NFT Only Project,6566,83.29465451144435,78.82858796296296
Bitbtc Protocol,2021-11-19T15:55:20Z,20,Contract Project,7717,20.03149103271077,385.24341435185187
Iron Bank,2022-06-21T07:16:30Z,65,Contract Project,12327,71.83410906952732,171.60371527777778
IGLIMINTS,2022-06-03T04:14:20Z,1,NFT Only Project,307,1.6180869876702977,189.73021990740742
Niftyswap,2022-03-02T03:36:10Z,38,Contract Project,374,1.3226917966755958,282.75672453703703
Dhedge,2021-11-29T21:28:04Z,700,Contract Project,63281,168.74377624662793,375.01234953703704
OmniTrolls,2022-05-21T08:05:47Z,1,NFT Only Project,384,1.895645778620551,202.56949074074075
XCHF,2022-03-02T11:06:19Z,1,ERC20 Only Project,121,0.4284033239613277,282.44412037037034
Optimism Quest,2022-06-01T22:25:59Z,1,Contract Project,223,1.167709657071349,190.97212962962962
Holozaki,2022-06-05T07:22:03Z,42,Contract Project,24538,130.7996703977659,187.59986111111112
Openxproject,2022-08-19T16:28:09Z,49,Contract Project,11616,103.51038412056607,112.220625
Mean Finance,2021-12-06T14:40:42Z,73,Contract Project,31571,85.72198689853202,368.29524305555555
Ape Warrior Redux,2022-07-13T20:18:15Z,1,NFT Only Project,7213,48.389639576682896,149.06083333333333
Apetimism Launchapd,2022-07-29T21:27:35Z,37,Contract Project,35095,263.8470154266824,133.01268518518518
Mangmoom,2022-10-13T04:40:08Z,1,NFT Only Project,4369,75.7030954348708,57.71230324074074
Lifi,2022-01-12T08:42:06Z,53,Contract Project,93632,282.41175685122494,331.5442708333333
Dlab,2022-04-08T18:14:49Z,3,Contract Project,495,2.0192003441629915,245.14655092592594
Chainshot,2022-03-10T20:41:14Z,1,Contract Project,125,0.45612967969518037,274.04487268518517
Alliancebridge,2021-12-09T14:08:47Z,15,Contract Project,30,0.08212036818312234,365.3174074074074
Omni Robotics,2022-04-12T23:03:41Z,1,NFT Only Project,68,0.28222097221935344,240.94594907407406
0xBTC,2021-06-13T00:00:00Z,1,ERC20 Only Project,93,0.1706713755925532,544.9068402777777
OPrint,2022-08-30T06:03:40Z,1,ERC20 Only Project,134,1.3181932090779263,101.65429398148149
Raid Project,2022-04-07T19:00:42Z,2,Contract Project,137,0.5566510531802373,246.1146875
NFTMapQuest,2022-03-01T16:15:52Z,1,NFT Only Project,55,0.19418904802374437,283.2291550925926
OptiKitties,2022-06-29T13:20:40Z,1,NFT Only Project,161,0.9856087546181812,163.35082175925925
Pilgrim Protocol,2022-02-11T07:37:41Z,1,Contract Project,195,0.6465752962030971,301.58900462962964
xZEROs,2022-04-08T07:56:30Z,1,NFT Only Project,177,0.720754654555681,245.5759375
Merge Bear,2022-09-14T04:33:43Z,1,NFT Only Project,3445,39.72703811151887,86.71675925925926
Omni Bears,2022-04-05T07:08:31Z,1,NFT Only Project,70,0.2815663431384964,248.60925925925926
Wpsmartcontractscom,2021-12-05T14:51:24Z,7,Contract Project,41,0.1110245142465946,369.2878125
SUKU,2022-08-15T11:59:24Z,1,ERC20 Only Project,5,0.04295264858260734,116.40725694444444
OptimisticBoredApeYachtClub,2021-12-17T09:35:16Z,1,NFT Only Project,28,0.07832006820631601,357.50734953703704
Fractalia,2022-05-28T01:17:36Z,1,NFT Only Project,74,0.3778344899846026,195.8529513888889
Resonate,2022-09-30T03:34:50Z,1,Contract Project,51,0.7207701169599349,70.75765046296296
TinyDaemons,2022-08-02T23:02:57Z,1,NFT Only Project,1274,9.88006973178467,128.94645833333334
The Meld,2022-04-10T14:36:07Z,1,NFT Only Project,48,0.19728857602479502,243.29842592592593
Butterfly Collective Cards (Optim),2022-06-05T07:44:41Z,1,NFT Only Project,171,0.9115909095115957,187.58414351851852
Defihelper,2022-04-07T16:17:22Z,17,Contract Project,48,0.19494118414077882,246.22811342592593
Fidis Fi25 Crypto Index,2021-12-18T09:26:06Z,2,ERC20 Only Project,50,0.14024705882925845,356.5137152777778
Ethernauts,2022-02-03T21:31:52Z,1,NFT Only Project,177,0.572797533219077,309.00971064814814
Pods,2022-02-09T00:14:04Z,28,Contract Project,17,0.05593999277974958,303.89707175925923
Merge2048nft,2022-01-26T13:36:21Z,1,NFT Only Project,35,0.11029182472790854,317.33993055555555
Circusdao,2021-12-20T18:25:03Z,10,Contract Project,94,0.2654321665508408,354.13944444444445
Rwtp,2022-05-06T18:02:14Z,2,Contract Project,8,0.036839996040979595,217.15528935185185
TheCrazyFrogs,2022-07-13T15:43:20Z,1,NFT Only Project,88,0.5896078361884062,149.2517476851852
Party Panda,2022-03-27T05:51:24Z,1,NFT Only Project,102,0.3958662059547301,257.6628125
Putty,2022-04-26T12:29:56Z,2,Contract Project,27,0.11874079177325028,227.38605324074075
Tokenfunder,2021-11-26T21:14:09Z,17,Contract Project,362,0.9576161882106734,378.02201388888886
Ghostly Ghosts,2022-04-04T04:40:37Z,1,NFT Only Project,447,1.7900623839113896,249.7119675925926
Ashes of Light,2022-04-19T09:56:50Z,1,NFT Only Project,221,0.9424613579935105,234.4923726851852
Mask Network,2021-12-16T21:11:23Z,19,Contract Project,17,0.047482858907762354,358.02393518518517
CTSI,2022-09-05T14:23:36Z,1,ERC20 Only Project,3,0.03147718723643776,95.30711805555555
World of African Women,2022-04-29T02:24:46Z,1,NFT Only Project,161,0.7161720750862433,224.80630787037038
Layer Zero Punks,2022-04-13T20:55:43Z,1,NFT Only Project,214,0.8915373387193833,240.0348148148148
PillowCats,2022-04-13T17:51:10Z,1,NFT Only Project,140,0.5829374834729562,240.16297453703703
Crypto Multisender,2022-10-13T08:54:14Z,1,Contract Project,12,0.2085656345068302,57.53584490740741
SACRO,2021-11-26T20:45:10Z,1,ERC20 Only Project,2,0.005290415490801918,378.0421412037037
Votium,2022-10-10T23:50:18Z,6,Contract Project,5,0.08345353927039584,59.91357638888889
Wormhole,2022-11-07T16:51:02Z,1,Contract Project,21,0.6520780495448499,32.204733796296296
tiny cats,2022-04-14T03:02:38Z,1,NFT Only Project,286,1.1927599724535312,239.78001157407408
VEE,2021-06-13T00:00:00Z,1,ERC20 Only Project,7,0.0128462325714825,544.9068402777777
TinyDoge,2022-04-15T13:12:21Z,1,NFT Only Project,141,0.5915506499219918,238.35659722222223
Teahouse,2021-12-16T20:03:22Z,6,Contract Project,14,0.03909837264983499,358.0711689814815
Rsociety,2022-09-18T08:49:58Z,1,Contract Project,204,2.4715646525981816,82.53880787037038
DOG,2021-06-13T00:00:00Z,1,ERC20 Only Project,4,0.007340704326561428,544.9068402777777
Nft For My Bro,2021-12-03T04:27:13Z,1,NFT Only Project,2,0.005380375416940174,371.72127314814816
0ni,2022-05-25T03:41:31Z,1,NFT Only Project,229,1.1521838127305315,198.75300925925927
One Hand Cleans The Other,2022-04-14T14:30:58Z,1,NFT Only Project,62,0.2590868417324633,239.3020023148148
Pyth,2022-09-09T13:30:06Z,5,Contract Project,31,0.33937541694938445,91.34427083333334
Btcmirror,2022-01-20T08:42:38Z,1,Contract Project,206,0.6366987592880968,323.54390046296294
R.o.s.e.s 2 (OPT),2022-06-04T08:52:55Z,1,NFT Only Project,180,0.9547209823018106,188.53675925925927
LRC,2022-02-10T04:12:50Z,1,ERC20 Only Project,2,0.006606519556655129,302.7312615740741
Omni Apes,2022-04-14T01:42:38Z,1,NFT Only Project,399,1.6636398211293781,239.83556712962962
Llamapay,2022-04-29T03:17:57Z,2,Contract Project,21,0.09342909815894626,224.769375
GKD Showcase 3 Poster,2022-02-26T01:25:08Z,1,NFT Only Project,15,0.05229255440775999,286.8477199074074
TheDAO,2022-05-07T20:34:58Z,1,ERC20 Only Project,4,0.01851429926939768,216.04922453703705
Xeno Gems,2022-05-02T04:39:11Z,1,NFT Only Project,9,0.04059302568385884,221.71296296296296
Omni Doors,2022-04-12T17:40:25Z,1,NFT Only Project,204,0.845874810182556,241.1704398148148
Fuji Finance,2022-08-29T21:34:53Z,17,Contract Project,58,0.568584998079074,102.00761574074075
Optidoge,2021-12-22T19:18:49Z,3,Contract Project,83,0.23572707595932918,352.1021064814815
THIRM,2021-06-13T00:00:00Z,1,ERC20 Only Project,1,0.001835176081640357,544.9068402777777
ODOGE,2021-06-13T00:00:00Z,1,ERC20 Only Project,1,0.001835176081640357,544.9068402777777
SNX L222,2022-02-14T06:36:06Z,1,NFT Only Project,46,0.15403585449611334,298.63177083333335
yearn Gift NFT,2022-01-09T11:46:19Z,1,NFT Only Project,5,0.014951422413262024,334.41634259259257
Optimism Contributor NFTs,2022-03-04T23:57:40Z,1,NFT Only Project,50,0.1786298273522044,279.90846064814815
DinoSours Collection,2022-03-06T16:00:15Z,1,NFT Only Project,3,0.010782058654399079,278.24
SOCKS,2022-03-18T07:09:38Z,1,ERC20 Only Project,9,0.03375736537655156,266.6084837962963
FLASH,2022-10-21T12:57:43Z,1,ERC20 Only Project,1,0.020256545396231156,49.36675925925926
Metaverse Water,2022-10-31T18:24:59Z,1,NFT Only Project,2,0.05109928520143409,39.13949074074074
ODOG,2021-12-24T06:47:19Z,1,ERC20 Only Project,46,0.13119467700308893,350.6239814814815
Poa,2022-05-16T17:01:32Z,1,Contract Project,5,0.024131572033943515,207.19744212962962
MintMyRun,2021-12-23T23:25:45Z,1,NFT Only Project,8,0.0227965285161419,350.930625
Strange 46 (OPT),2022-06-08T01:51:07Z,1,NFT Only Project,58,0.31380242220001847,184.82967592592593
Reality Eth,2022-01-20T10:44:31Z,1,Contract Project,5,0.015457897267959786,323.4592592592593
Bankless,2022-10-17T21:51:33Z,1,ERC20 Only Project,1,0.018869333794583717,52.99604166666666
Xswap,2022-10-22T06:17:04Z,1,Contract Project,1,0.020557102228994224,48.64498842592592
ZRX,2022-07-31T23:32:55Z,1,ERC20 Only Project,1,0.007637922852735897,130.92564814814816
Multisigwallet,2022-05-05T12:24:38Z,1,Contract Project,14,0.06410557747672582,218.3897337962963
Opx,2021-11-11T21:53:51Z,1,Contract Project,1,0.0025445652327570362,392.99444444444447
OVM-TEST,2021-11-11T22:16:17Z,1,ERC20 Only Project,1,0.002544666105936924,392.97886574074073
USDD,2022-05-20T09:09:43Z,2,Contract Project,1,0.004913399066727144,203.52509259259259
