,chain,project,action,usd_value_out,usd_value_out_pct_share,usd_value_net,usd_value_net_pct_share,address,style,granularity
111188,Ethereum,0xe11970f2f3de9d637fb786f2d869f8fea44195ac,0xe11970f2f3de9d637fb786f2d869f8fea44195ac,52222206.33302286,0.00020887617863237155,50335074.94645624,0.0002506214820072182,33.0,Dollar-Weighted,project
55500,Ethereum,0x6fb3934ee371f5ea06c5f6a71cf7c7c6688fbd8d,0x6fb3934ee371f5ea06c5f6a71cf7c7c6688fbd8d,52019326.84909271,0.00020806470982816206,52019326.84909271,0.0002590074774261432,2.0,Dollar-Weighted,project
126708,Ethereum,wormhole,wormhole,51965426.41274524,0.0002078491211358904,51965426.41274524,0.0002587391037870335,142.0,Dollar-Weighted,project
126472,Ethereum,celer,celer,51953719.827433795,0.00020780229762963916,51953719.827433795,0.00025868081596759315,152.0,Dollar-Weighted,project
16623,Ethereum,0x20fce08ce6cead0a04723236f4171f446eae4ec9,0x20fce08ce6cead0a04723236f4171f446eae4ec9,51942772.84392457,0.00020775851234664333,51942772.84392457,0.0002586263102529695,9.0,Dollar-Weighted,project
126602,Ethereum,olympus,olympus,51658302.2475,0.00020662069885145094,51658302.2475,0.00025720991338579007,52.0,Dollar-Weighted,project
113556,Ethereum,0xe5da27388bcbf4d4815653e329ee76db8f0035e1,0xe5da27388bcbf4d4815653e329ee76db8f0035e1,51630625.93578374,0.0002065100003069837,51630625.93578374,0.00025707211130113634,6.0,Dollar-Weighted,project
63426,Ethereum,0x80369f070744028a934f1385e362ce578e10d6c0,0x80369f070744028a934f1385e362ce578e10d6c0,51475215.939642206,0.00020588839795819924,51475215.939642206,0.0002562983152236862,1.0,Dollar-Weighted,project
90670,Ethereum,0xb7957e9eca117c3bb54c84d513ce97e0ff95058d,0xb7957e9eca117c3bb54c84d513ce97e0ff95058d,51246331.5795112,0.00020497291594681117,51246331.5795112,0.00025515868569884044,1.0,Dollar-Weighted,project
124152,Ethereum,0xfb65377800a7282cf81baf0f335fbc6f8ff36776,0xfb65377800a7282cf81baf0f335fbc6f8ff36776,51192354.03452322,0.00020475701883865093,51192354.03452322,0.00025488992813099356,7.0,Dollar-Weighted,project
47597,Ethereum,0x5fdcb8c5469f3587193ead4eae799e99f2b8c3ac,0x5fdcb8c5469f3587193ead4eae799e99f2b8c3ac,51107892.25962328,0.00020441919219323684,51107892.25962328,0.0002544693876784185,2.0,Dollar-Weighted,project
